id,smi,label
pos_1,c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@@H]4CCCN(C)C4,1
pos_2,ClCCCl,1
pos_3,c1cccc(c1C23C)C(N3)Cc4c2cccc4,1
pos_4,c1ccccc1,1
pos_5,CCCCCCCC,1
pos_6,CC(C)(C)NC(C)C(=O)c1cc(Cl)ccc1,1
pos_7,CN1CCCC1c2cccnc2,1
pos_8,Cc1ccccc1,1
pos_9,CNC(C)Cc1ccccc1,1
pos_10,c1cccc(c12)cc(C(=O)N(C)C(C)CC)nc2-c3c(Cl)cccc3,1
pos_11,O=C(O)COc1c(Cl)cc(Cl)cc1,1
pos_12,CN(C)CCC=C1c(cccc2)c2CCc(c13)cccc3,1
pos_13,CCOC(=O)c1ccc(N)cc1,1
pos_14,CC(C)NCC(O)COc(cc1)ccc1CCOCC2CC2,1
pos_15,C12C=CC(C2)CC1C(O)(c3ccccc3)CCN4CCCCC4,1
pos_16,c1cc(F)ccc1C(=O)CCCN(CC2)CCC2(O)c3ccc(Br)cc3,1
pos_17,c1cccc(c1C#N)OCC(O)CNC(C)(C)C,1
pos_18,C1CCCC12CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)c4ncccn4,1
pos_19,CCCCOC(=O)c1ccc(N)cc1,1
pos_20,CN(C)CCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,1
pos_21,c1c(Cl)ccc(c12)N(C)C(=O)CC(=O)N2c3ccccc3,1
pos_22,N1CCNC1=Nc2c(Cl)cccc2Cl,1
pos_23,CNCCCN(c(c12)cccc1)c3c(CC2)cccc3,1
pos_24,c1c(Cl)ccc(c12)NC(=O)CN=C2c3ccccc3,1
pos_25,CC(N)Cc1ccccc1,1
pos_26,c1c(Cl)ccc(c12)N(C)C(=O)CN=C2c3ccccc3,1
pos_27,c1ccccc1C(OCCN(C)C)c2ccccc2,1
pos_28,COc(c1)c(OC)cc(c12)CC(C2=O)CC3CCN(CC3)Cc4ccccc4,1
pos_29,FC(Cl)C(F)(F)OC(F)F,1
pos_30,c1ccccc1N(C(=O)CC)C2CCN(CC2)CCc3ccccc3,1
pos_31,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(CC4)CCO,1
pos_32,FC(F)(F)c1ccc(cc1)OC(CCNC)c2ccccc2,1
pos_33,c1cc(F)ccc1C(=O)CCCN(CC2)CCC2(O)c3ccc(Cl)cc3,1
pos_34,FC(F)(F)C(Cl)Br,1
pos_35,c1cc(Cl)ccc1C(c2ccccc2)N3CCN(CC3)CCOCCO,1
pos_36,CCN(CC)CC(=O)Nc(c1C)c(C)ccc1,1
pos_37,CN(C)CCCN(c(c12)cccc1)c3c(CC2)cccc3,1
pos_38,FC(F)(F)C(Cl)OC(F)F,1
pos_39,c1ccc(Cl)c(Cl)c1-c2c(N)nc(N)nn2,1
pos_40,c1ccccc1C(C(=O)N(C)C)(c2ccccc2)CCN(CC3)CCC3(O)c4ccc(Cl)cc4,1
pos_41,c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3c(Cl)cccc3,1
pos_42,c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2C(O)C3CCCCN3,1
pos_43,ClC(Cl)C(F)(F)OC,1
pos_44,N1CCCCC1C(C(=O)OC)c2ccccc2,1
pos_45,CC(C)NCC(O)COc(cc1)ccc1CCOC,1
pos_46,C1CN(C)CC2N1c(cccc3)c3Cc(c24)cccc4,1
pos_47,C1CN(C)CC2N1c(nccc3)c3Cc(c24)cccc4,1
pos_48,c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3ccccc3,1
pos_49,CC(C)=CCN(CC1)C(C2C)Cc(c3C12C)ccc(c3)O,1
pos_50,CN(C)CCCN1c(cccc2)c2Sc(c13)cccc3,1
pos_51,CC(C)c1c(O)c(C(C)C)ccc1,1
pos_52,CC(C)NCC(O)COc1cccc(c12)cccc2,1
pos_53,n1ccccc1N(CCN(C)C)Cc2ccc(cc2)OC,1
pos_54,O=C1CC(CN1)c2cc(c(cc2)OC)OC3CCCC3,1
pos_55,CCCN(CCC)CCc1cccc(c12)NC(=O)C2,1
pos_56,FC(F)(F)C(C(F)(F)F)OCF,1
pos_57,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)NCN3c4ccccc4,1
pos_58,CC(C)(C)c1ccc(cc1)C(O)CCCN(CC2)CCC2C(O)(c3ccccc3)c4ccccc4,1
pos_59,CN1CCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)SC,1
pos_60,n1nc(C)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4c(Cl)cccc4,1
pos_61,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,1
pos_62,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN(C)C,1
pos_63,c1ccccc1C(=O)OC(C2C(=O)OC)CC(N3C)CCC23,1
pos_64,CCCCN(C1)CC2C1Cc(c23)cc(OC)c(c3)OC,1
pos_65,ClC(Cl)Cl,1
pos_66,CCCCCO,1
pos_67,ClC(Cl)(Cl)C,1
pos_68,C=C,1
pos_69,CC(Br)C,1
pos_70,CC(C)(C)O,1
pos_71,CC(C)(C)CC,1
pos_72,c1ccccc1C2(CCCCC2)N3CCCCC3,1
pos_73,CCCCC1(CC)C(=O)NC(=O)NC1=O,1
pos_74,ClC(Cl)=CCl,1
pos_75,CCCOC(=O)c1ccc(N)cc1,1
pos_76,Cc1c(C)cccc1,1
pos_77,Cc1c(C)ccc(C)c1,1
pos_78,CCC(C)CC,1
pos_79,CC1CCCC1,1
pos_80,CC(C)(C)c1ccccc1,1
pos_81,FC(F)(F)c1ccc(Cl)cc1,1
pos_82,CCc1ccccc1,1
pos_83,C=Cc1ccccc1,1
pos_84,Cc1ccc(C)cc1,1
pos_85,CCCBr,1
pos_86,CC(C)CCC,1
pos_87,CC(=O)OC(C)C,1
pos_88,Cc1cc(C)ccc1,1
pos_89,CC1CCCCC1,1
pos_90,CC(=O)OCCC,1
pos_91,CCCCC,1
pos_92,C=COC=C,1
pos_93,CC(=O)OCC(C)C,1
pos_94,CCCCCC,1
pos_95,C1CCCCC1,1
pos_96,C=CCCCCCC,1
pos_97,CCCCCCCCC,1
pos_98,CCCCCCC,1
pos_99,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,1
pos_100,C1CN(C)Cc2ccc(OC)c(c2C134)OC3CC(O)C=C4,1
pos_101,FC(F)(F)COC=C,1
pos_102,CC1C(C)CCCC1,1
pos_103,CC(C)CCCC,1
pos_104,CC(C)CCCCC,1
pos_105,CC(=O)OCCCCC,1
pos_106,ClC(Cl)(Cl)CCl,1
pos_107,CC(C)(C)OCC,1
pos_108,CCCC(=O)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,1
pos_109,CC(C)CCCCCCC,1
pos_110,C=CCCCCCCCC,1
pos_111,CC(C)(C)OC,1
pos_112,CCCCCCCCCC,1
pos_113,FS(F)(F)(F)(F)F,1
pos_114,CC(C)NCC(O)COc(cc1C)ccc1,1
pos_115,CC(C)(C)C1CCCCC1,1
pos_116,CC(C)CCCCCC,1
pos_117,CNCCCN1c(cccc2)c2Sc(c13)cccc3,1
pos_118,CC(=O)OCCCC,1
pos_119,CC(=O)OCCC(C)C,1
pos_120,C=CCCCCCCC,1
pos_121,FC(F)(F)C(F)Br,1
pos_122,ClC(Cl)=C(Cl)Cl,1
pos_123,c12c3c4ccc1cccc2ccc3ccc4,1
pos_124,CN1CCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)S(=O)(=O)C,1
pos_125,FC(F)(F)C(F)OC(F)F,1
pos_126,CSCC(C1)CN(CCC)C(C2)C1c3cccc4[nH]cc2c34,1
pos_127,COC(C)(C)CC,1
pos_128,CNCCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,1
pos_129,CCc(cc1)ccc1C(=O)C(C)CN2CCCC2,1
pos_130,C1CCNc(c12)cccc2,1
pos_131,NCCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,1
pos_132,C=COCCCCOC=C,1
pos_133,CC(C)(C)OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,1
pos_134,c1c(Cl)ccc(c12)NC(=O)CC(=O)N2c3ccccc3,1
pos_135,N1CCNC1=Nc2c(Cl)cc(Cl)cc2,1
pos_136,CC1C(C)CCC(C)C1,1
pos_137,c1cccc(c12)sc(n2)NCCCOc(ccc3)cc3CN4CCCCC4,1
pos_138,C1NCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)SC,1
pos_139,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)N(C)CN3c4ccccc4,1
pos_140,CNCCCN(c(c12)ccc(c1)O)c3c(CC2)cccc3,1
pos_141,c1cccc(c12)N(CCCN)c3c(CC2)cccc3,1
pos_142,Cc1cccc(C2CN(C)CC3)c1Oc(c4C23O)cccc4,1
pos_143,c1ccccc1NC(=O)Oc(c2)ccc(c2C34C)N(C)C3N(C)CC4,1
pos_144,C1CCCNc(c12)cc(cc2)C(=O)CCC3CCN(CC3)Cc4ccccc4,1
pos_145,C#CC1(O)CCC(C12C)C3C(CC2)C4=C(CC3C)CC(=O)CC4,1
pos_146,c1ccccc1C(CC)=C(c2ccccc2)c3ccc(cc3)OCCN(C)C,1
pos_147,c1ccccc1C(CC)NC(=O)c2c(C)c(-c3ccccc3)nc(c24)cccc4,1
pos_148,O1C2C(O)C=CC3C(N(C)CC4)Cc5ccc(c1c5C234)OC,1
pos_149,c1cc(C(F)(F)F)ccc1C(=NOCCN)CCCCOC,1
pos_150,CC(C)c1cc(c(cc1)OC)CNC(C23)C(N(CC2)CC3)C(c4ccccc4)c5ccccc5,1
pos_151,FC(F)(F)c1c(Cl)nc(cc1)N2CCNCC2,1
pos_152,FC(F)(F)Oc(c1)ccc(OC)c1CNC(CCCN2)C2c3ccccc3,1
pos_153,FC(F)(F)Oc(c1)ccc(OC(C)C)c1CNC(CCCN2)C2c3ccccc3,1
pos_154,CC(C)c1cc(c(cc1)OC)CNC(CCCN2)C2c3ccccc3,1
pos_155,CN(C1)CC(C12)c3c(cccc3)Oc4c2cc(Cl)cc4,1
